Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NFLX,NVDA,JPM,DIS
29-01-2024,184.11,405.18,141.31,171.81,471.7,187.91,56.46,66.12,167.39,95.2
05-02-2024,187.08,414.37,147.88,174.45,464.86,193.57,56.13,72.09,167.66,106.24
12-02-2024,180.83,398.12,139.47,169.51,470.04,199.95,58.4,72.57,171.51,109.39
19-02-2024,181.04,405.06,142.88,174.99,480.67,191.97,58.36,78.77,176.26,105.6
26-02-2024,178.21,410.15,136.11,178.22,499.34,202.64,61.93,82.23,177.51,109.73
04-03-2024,169.35,400.99,134.39,175.35,502.97,175.34,60.48,87.48,180.32,108.13
11-03-2024,171.22,411.06,140.12,174.42,481.25,163.57,60.59,87.79,182.31,109.73
18-03-2024,170.89,423.22,149.64,178.87,506.58,170.83,62.8,94.24,188.36,113.57
25-03-2024,170.09,415.31,149.8,180.38,482.72,175.79,60.73,90.31,191.89,119.93
01-04-2024,168.21,420.04,151.36,185.07,524.24,164.9,63.62,87.96,189.16,116.03
08-04-2024,175.12,416.47,156.55,186.13,508.89,171.05,62.28,88.14,176.14,111.75
15-04-2024,163.66,393.98,152.93,174.63,478.24,147.05,55.5,76.16,179.04,110.38
22-04-2024,167.93,401.09,170.66,179.62,440.68,168.29,56.12,87.69,186.45,110.5
29-04-2024,181.9,401.43,165.99,186.21,449.3,181.19,57.93,88.74,183.57,111.41
06-05-2024,181.57,409.4,167.39,187.48,473.4,168.47,61.09,89.83,191.53,103.69
13-05-2024,188.59,414.8,174.74,184.7,469.13,177.46,62.11,92.43,197.33,101.2
20-05-2024,188.7,425.39,173.68,180.75,475.41,179.24,64.68,106.41,193.4,99.74
27-05-2024,190.95,410.53,171.21,176.44,464.08,178.08,64.16,109.58,195.25,101.85
03-06-2024,195.56,419.15,173.15,184.3,490.06,177.48,64.15,120.83,192.67,99.53
10-06-2024,211.06,437.66,175.46,183.66,501.19,178.01,66.94,131.81,186.73,97.99
17-06-2024,206.09,444.79,178.49,189.08,492.36,183.01,68.61,126.52,189.15,100.24
24-06-2024,209.2,441.99,180.99,193.25,501.75,197.88,67.49,123.49,194.9,97.32
01-07-2024,224.81,462.38,189.39,200,537.27,251.52,69.07,125.78,197.33,96.05
08-07-2024,228.98,448.52,183.89,194.49,496.43,248.23,64.76,129.18,198.57,95.2
15-07-2024,222.8,432.26,176.53,183.13,474.46,239.2,63.33,117.88,203.26,94.28
22-07-2024,216.49,420.55,165.94,182.5,463.42,219.8,63.14,113.01,205.65,88.55
29-07-2024,218.38,403.96,165.6,167.9,485.75,207.67,61.36,107.22,192.95,88.2
05-08-2024,214.78,401.52,162.63,166.94,515.23,200,63.39,104.71,199.41,84.89
12-08-2024,224.53,413.83,161.92,177.06,524.84,216.12,67.41,124.53,207.32,87.93
19-08-2024,225.57,412.91,164.57,177.04,525.41,220.32,68.67,129.31,211.53,89.17
26-08-2024,227.72,413.26,162.34,178.5,518.76,214.11,70.14,119.32,217.82,89
02-09-2024,219.58,397.96,149.96,171.39,497.82,210.73,66.58,102.79,205.86,86.59
09-09-2024,221.25,426.58,156.46,186.49,522.05,230.29,69.71,119.05,197.97,89.16
16-09-2024,226.92,431.22,162.77,191.6,558.6,238.25,70.1,115.96,204.53,92.32
23-09-2024,226.52,424.04,163.12,187.97,565.12,260.46,70.74,121.36,203.96,94.54
30-09-2024,225.53,412.19,166.22,186.51,593.59,250.08,71.97,124.88,204.66,93.69
07-10-2024,226.28,412.45,162.42,188.82,587.62,217.8,72.28,134.75,216.7,92.69
14-10-2024,233.68,414.27,162.6,188.99,574.19,220.7,76.39,137.95,219.71,95.79
21-10-2024,230.11,424.17,164.44,187.83,570.99,269.19,75.47,141.49,216.72,93.58
28-10-2024,221.66,406.55,170.43,197.93,564.92,248.98,75.61,135.35,217.34,94.34
04-11-2024,225.69,418.61,177.45,208.18,587.01,321.22,79.5,147.58,231.03,97.5
11-11-2024,223.99,411.14,171.62,202.61,551.89,320.72,82.4,141.93,239.15,113.32
18-11-2024,228.84,413.12,163.93,197.12,556.93,352.56,89.78,141.9,242.3,113.88
25-11-2024,236.26,420.36,168.1,207.89,572.05,345.16,88.68,138.2,243.45,115.67
02-12-2024,241.75,440.32,173.83,227.03,621.31,389.22,93.47,142.39,241.14,114.94
09-12-2024,247.01,443.99,188.86,227.46,617.9,436.23,91.89,134.21,233.91,111.61
16-12-2024,253.34,433.4,190.66,224.92,582.94,421.06,90.9,134.66,231.63,110.32
23-12-2024,254.44,427.38,192.01,223.75,597.92,431.66,90.75,136.97,235.11,110.33
30-12-2024,242.26,420.25,191.04,224.19,602.73,410.44,88.11,144.43,237.17,109.94
06-01-2025,235.78,415.88,191.29,218.94,613.92,394.74,83.77,135.87,233.84,107.46
13-01-2025,228.94,425.89,195.24,225.94,610.84,426.5,85.81,137.67,253.95,105.85
20-01-2025,221.78,440.81,199.43,234.85,645.45,406.58,97.76,142.58,259.52,110.93
27-01-2025,234.94,412.02,203.22,237.68,687.01,404.6,97.68,120.04,261.93,111.82
03-02-2025,226.61,406.75,184.62,229.15,712.27,361.62,101.39,129.8,270.26,109.65
10-02-2025,243.5,405.44,184.51,228.68,734.35,355.84,105.86,138.81,271.03,109.17
17-02-2025,244.71,405.22,178.96,216.58,681.4,337.8,100.32,134.39,258.93,107.47
24-02-2025,241.02,394.87,169.62,212.28,666.1,292.98,98.06,124.89,259.33,112.56
03-03-2025,238.26,391.21,173.18,199.25,623.69,262.67,89.11,112.66,237.41,104.36
10-03-2025,212.76,386.49,164.84,197.95,605.69,249.98,91.8,121.64,227.77,97.56
17-03-2025,217.53,389.17,163.54,196.21,594.9,248.71,96.03,117.68,236.77,98.37
24-03-2025,217.16,376.78,153.9,192.72,575.44,263.55,93.39,109.65,237.97,97
31-03-2025,187.74,357.92,145.2,171,503.59,239.43,85.59,94.29,206.05,82.62
07-04-2025,197.47,386.38,156.71,184.87,542.34,252.31,91.83,110.91,232.88,83.96
14-04-2025,196.31,365.82,150.74,172.61,500.35,241.37,97.3,101.47,228.7,83.88
21-04-2025,208.57,389.76,161.51,188.99,546.04,284.95,110.15,110.99,240.13,89.29
28-04-2025,204.65,432.96,163.58,189.98,595.67,287.21,115.65,114.48,248.96,91.48
05-05-2025,197.85,436.39,152.33,193.06,591.15,298.26,114.02,116.63,249.52,104.78
12-05-2025,210.54,451.85,165.73,205.59,638.9,349.98,119.15,135.38,263.8,112.18
19-05-2025,194.86,448.6,168.01,200.99,625.64,339.34,118.54,131.27,257.05,108.52
26-05-2025,200.43,458.75,171.27,205.01,646.03,346.46,120.72,135.11,260.29,111.8
02-06-2025,203.49,468.73,173.2,213.57,696.14,295.14,124.15,141.69,261.99,112.65
09-06-2025,196.04,473.29,174.19,212.1,681.33,325.31,121.21,141.94,261.23,116.65
16-06-2025,200.58,475.73,166.38,209.69,680.81,322.16,123.14,143.83,271.13,116.34
23-06-2025,200.66,494.2,178.25,223.3,732.54,323.63,132.31,157.73,283.07,121
30-06-2025,213.1,497.09,179.25,223.41,717.94,315.35,129.72,159.32,291.84,123.17
07-07-2025,210.72,501.56,179.91,225.02,716.44,313.51,124.51,164.9,284.19,119.06
14-07-2025,210.74,508.26,184.77,226.13,703.23,329.65,120.92,172.39,288.56,120.6
21-07-2025,213.43,511.91,192.88,231.44,711.62,316.06,118.05,173.48,295.84,120.65
28-07-2025,201.95,522.27,188.84,214.75,748.89,302.63,115.86,173.7,286.68,115.81
04-08-2025,228.87,520.21,201.11,222.69,768.15,329.65,121.16,182.68,286.07,111.67
11-08-2025,231.1,518.35,203.58,231.03,784.06,330.56,123.89,180.43,287.79,114.61
18-08-2025,227.54,505.45,205.77,228.84,753.67,340.01,120.46,177.97,293.48,118.06
